complaint_type,family,bundle,mayoral_interest,baseline_flag
ABANDONED BIKE,BIKE & SKATE,street_safety,N,anomalous
ABANDONED VEHICLE,ABANDONED VEHICLE,street_safety,N,
ANIMAL IN A PARK,ANIMAL-ABUSE/SALES/ILLEGAL/DEAD,public_health,N,
ANIMAL-ABUSE,ANIMAL-ABUSE/SALES/ILLEGAL/DEAD,public_health,N,
APPLIANCE,PUBLIC HOUSING COMPLAINT (HPD),housing_quality,N,
ASBESTOS,ASBESTOS,public_health,N,
BIKE RACK,BIKE & SKATE,street_safety,N,
BIKE/ROLLER/SKATE CHRONIC,BIKE & SKATE,street_safety,N,
BOILER,BOILER,housing_quality,N,
BRIDGE CONDITION,HIGHWAY/STREET CONDITION,streets_signals,N,
BROKEN PARKING METER,BROKEN PARKING METER,street_safety,Y,
BUS STOP SHELTER COMPLAINT,BUS STOP COMPLAINT,streets_signals,N,
COMMERCIAL DISPOSAL COMPLAINT,TRASH COLLECTION/DISPOSAL,sanitation,N,anomalous
CONSTRUCTION LEAD DUST,LEAD (HPD & DOB),public_health,Y,
CONSUMER COMPLAINT,CONSUMER COMPLAINT,public_health,N,
CURB CONDITION,SIDEWALK & CURB,streets_signals,N,
DEAD ANIMAL,ANIMAL-ABUSE/SALES/ILLEGAL/DEAD,public_health,N,
DEP HIGHWAY CONDITION,HIGHWAY/STREET CONDITION,streets_signals,N,
DEP SIDEWALK CONDITION,SIDEWALK & CURB,streets_signals,N,
DEP STREET CONDITION,HIGHWAY/STREET CONDITION,streets_signals,N,
DERELICT VEHICLES,ABANDONED VEHICLE,street_safety,N,
DIRTY CONDITION,UNSANITARY CONDITION,blight_nuisance,N,
DISORDERLY YOUTH,DISORDERLY YOUTH,street_safety,Y,
DISPATCHED TAXI COMPLAINT,FHV COMPLAINT,transportation,N,
DISPATCHED TAXI COMPLIMENT,FHV COMPLAINT,transportation,N,
DOOR/WINDOW,PUBLIC HOUSING COMPLAINT (HPD),housing_quality,N,
DRUG ACTIVITY,DRUG ACTIVITY,street_safety, ,
DUMPSTER COMPLAINT,TRASH COLLECTION/DISPOSAL,sanitation,N,anomalous
ELECTRIC,PUBLIC HOUSING COMPLAINT (HPD),housing_quality,N,
ELEVATOR,ELEVATOR,housing_quality,N,
ENCAMPMENT,ENCAMPMENT,social_distress,N,
E-SCOOTER,E-BIKE,street_safety,Y,
FERRY COMPLAINT,FHV COMPLAINT,transportation,N,
